	Lon	Lat	Datetime	Year	Month	Day	Hour	Minute	Second	SST_C	windspeed	wind_moment2	air_pressure	salinity	xCO2air	fCO2
0	-5.02	50.12	2013-09-03 10:00:00	2013	9	3	10	0	0	15.719003649236477	9.979101439	99.58246554	1016.816978	29.99625241	411.9991583	396.3330243
1	-5.02062015	50.12038995	2013-09-03 10:06:40	2013	9	3	10	18	26	15.131422088395174	10.31244119	106.3464434	1018.016526	29.99836212	411.999655	398.4156925
2	-5.021239023	50.12078118	2013-09-03 10:12:34	2013	9	3	10	39	42	16.3552797581985	10.52717162	110.8213423	1016.255779	30.01220276	412.0000095	395.3212046
3	-5.021855347	50.12117496	2013-09-03 10:16:32	2013	9	3	11	6	50	15.825956067834758	10.46117818	109.4362488	1019.006612	30.00863992	412.0012855	396.2347019
4	-5.022467861	50.12157254	2013-09-03 10:18:04	2013	9	3	11	20	24	15.4178995504014	9.553927946	91.27753919	1018.66067	29.98904793	411.9986708	399.3370844
5	-5.023075319	50.12197519	2013-09-03 10:18:34	2013	9	3	11	33	16	18.148502689051316	10.61419127	112.6610562	1021.29439	30.00196607	411.9992887	398.9646074
6	-5.023676494	50.12238411	2013-09-03 10:25:38	2013	9	3	11	59	16	15.214445559368002	10.07168732	101.4388855	1019.008404	29.98510828	411.9998633	400.0443932
7	-5.024270187	50.12280052	2013-09-03 10:27:57	2013	9	3	12	3	21	15.699170862562546	10.31372105	106.3728418	1018.70774	29.99536309	411.9990704	399.0604046
8	-5.024855226	50.12322558	2013-09-03 10:31:08	2013	9	3	12	14	13	16.63690214556332	9.591544948	91.99773449	1017.441178	29.99474346	412.0013814	400.9286075
9	-5.025430477	50.12366043	2013-09-03 10:35:35	2013	9	3	12	43	59	15.422183363370499	9.728748703	94.64855132	1020.47602	30.00761005	412.001318	398.0919614
10	-5.025994843	50.12410617	2013-09-03 10:39:41	2013	9	3	13	7	3	16.75364129840981	10.08302035	101.6672993	1018.261097	29.9988455	411.9984763	399.3768057
11	-5.026547271	50.12456384	2013-09-03 10:46:16	2013	9	3	13	10	4	15.78182552411734	10.65497258	113.5284407	1019.336454	29.99343612	411.9989203	396.8904593
12	-5.027086759	50.12503445	2013-09-03 10:47:36	2013	9	3	13	21	24	16.559137620505783	10.54855438	111.2719995	1014.378258	30.02508506	411.9983774	400.005785
13	-5.027612352	50.12551896	2013-09-03 10:50:33	2013	9	3	13	44	31	16.184665410714302	10.11360873	102.2850816	1017.343365	29.99973726	412.0002532	400.9246442
14	-5.028123157	50.12601826	2013-09-03 10:54:08	2013	9	3	14	2	49	16.25269041076919	9.58506473	91.87346588	1016.637883	30.00399622	412.0003565	402.011626
15	-5.028618334	50.12653318	2013-09-03 10:56:12	2013	9	3	14	16	43	16.932166897385358	10.39961985	108.152093	1020.462856	30.01107739	412.0011211	396.6987017
16	-5.029097112	50.1270645	2013-09-03 10:57:01	2013	9	3	14	30	23	15.645291357445045	10.35383274	107.2018523	1019.501622	29.98837666	411.9984868	398.2491673
17	-5.029558782	50.12761294	2013-09-03 11:01:00	2013	9	3	14	35	8	15.654337025096869	10.29791008	106.0469521	1013.970008	30.01751454	411.9998005	398.5405187
18	-5.030002705	50.12817911	2013-09-03 11:05:48	2013	9	3	14	54	50	15.657225579970426	10.62279083	112.8436851	1020.06937	29.9943594	411.9997271	395.8502553
19	-5.030428315	50.1287636	2013-09-03 11:13:02	2013	9	3	14	59	24	16.197009731107297	10.00537378	100.1075044	1018.951789	30.00800078	411.9995635	400.4410336
20	-5.030835117	50.1293669	2013-09-03 11:17:35	2013	9	3	15	25	29	16.009840098399984	9.711227125	94.30793228	1020.10032	29.99041449	411.9995632	401.3119722
21	-5.031222694	50.12998943	2013-09-03 11:25:38	2013	9	3	15	48	59	16.845640383092334	10.30110888	106.1128441	1015.081398	30.01403094	412.0006512	397.6128372
22	-5.031590705	50.13063152	2013-09-03 11:30:55	2013	9	3	16	3	22	17.237347758726475	10.32397645	106.5844897	1015.248783	29.99929299	411.9996785	396.7403754
23	-5.031938889	50.13129343	2013-09-03 11:32:09	2013	9	3	16	29	2	15.677788985740321	9.40006798	88.36127802	1018.651302	30.00422154	411.9997922	396.505372
24	-5.032267064	50.13197536	2013-09-03 11:34:27	2013	9	3	16	44	22	16.607287301231697	10.23654226	104.7867975	1019.233373	30.01437052	412.0004926	397.5233371
25	-5.032575128	50.1326774	2013-09-03 11:37:24	2013	9	3	16	58	15	16.742852498414667	10.35961973	107.321721	1018.641357	30.00168501	412.0010355	398.7955861
26	-5.032863062	50.13339956	2013-09-03 11:44:46	2013	9	3	17	16	26	15.44370178772525	9.339569401	87.2275566	1024.150889	29.99620492	412.0009872	398.3847547
27	-5.033130925	50.1341418	2013-09-03 11:51:17	2013	9	3	17	23	55	15.994391435345634	9.541870626	91.04729504	1021.144663	30.00303155	412.0009977	399.4657803
28	-5.033378861	50.13490397	2013-09-03 11:53:41	2013	9	3	17	46	40	16.237329309675005	9.614823235	92.44482584	1021.129526	29.99007969	412.0006212	399.1489002
29	-5.03360709	50.13568584	2013-09-03 11:56:08	2013	9	3	18	11	28	15.944882897298022	9.245632523	85.48172075	1018.417385	30.00801696	412.0006976	396.3461955
30	-5.033815913	50.13648712	2013-09-03 11:57:02	2013	9	3	18	31	48	16.066587719668433	9.614485551	92.43833242	1019.227674	29.9932594	412.00204	400.2576075
31	-5.034005711	50.13730742	2013-09-03 12:03:20	2013	9	3	18	46	27	16.091952998343118	10.35953983	107.3200654	1020.409553	30.0001804	412.000115	397.0583708
32	-5.034176939	50.13814629	2013-09-03 12:06:27	2013	9	3	18	56	45	16.594074851793916	10.06105494	101.2248265	1020.725413	29.99661202	412.0000096	398.2435378
33	-5.034330127	50.13900321	2013-09-03 12:10:31	2013	9	3	19	21	30	14.992371911414551	9.632117647	92.77769036	1022.019491	29.99095281	411.9993183	401.4341536
34	-5.03446588	50.13987755	2013-09-03 12:12:26	2013	9	3	19	51	8	16.184531232435408	10.45182098	109.2405618	1017.772836	29.98148908	411.9993634	396.337305
